country,year,pec
Austria,1962,1
Austria,1966,1
Austria,1970,0
Austria,1971,0
Austria,1975,0
Austria,1979,0
Austria,1983,0
Austria,1986,1
Austria,1990,1
Austria,1994,1
Austria,1995,1
Belgium,1961,0
Belgium,1965,0
Belgium,1968,1
Belgium,1971,1
Belgium,1974,1
Belgium,1977,1
Belgium,1978,1
Belgium,1981,1
Belgium,1985,1
Belgium,1987,1
Belgium,1991,1
Belgium,1995,1
Denmark,1960,0
Denmark,1964,0
Denmark,1966,0
Denmark,1968,1
Denmark,1971,0
Denmark,1973,1
Denmark,1975,1
Denmark,1977,0
Denmark,1979,0
Denmark,1981,0
Denmark,1984,0
Denmark,1987,0
Denmark,1988,0
Denmark,1990,1
Denmark,1994,1
Denmark,1998,0
Finland,1962,0
Finland,1966,0
Finland,1970,1
Finland,1972,0
Finland,1975,0
Finland,1979,0
Finland,1983,1
Finland,1987,0
Finland,1991,0
Finland,1995,0
Germany,1961,1
Germany,1965,1
Germany,1969,1
Germany,1972,1
Germany,1976,1
Germany,1980,1
Germany,1983,1
Germany,1987,1
Germany,1990,1
Germany,1994,1
Germany,1998,1
Iceland,1963,1
Iceland,1967,1
Iceland,1971,0
Iceland,1974,1
Iceland,1978,0
Iceland,1979,0
Iceland,1983,0
Iceland,1987,0
Iceland,1991,1
Iceland,1995,0
Ireland,1961,0
Ireland,1965,0
Ireland,1969,0
Ireland,1973,1
Ireland,1977,1
Ireland,1981,1
Ireland,1982,1
Ireland,1982,1
Ireland,1987,0
Ireland,1989,0
Ireland,1992,0
Ireland,1997,1
Luxembourg,1964,0
Luxembourg,1968,1
Luxembourg,1974,0
Luxembourg,1979,1
Luxembourg,1984,0
Luxembourg,1989,0
Luxembourg,1994,1
Netherlands,1963,0
Netherlands,1967,0
Netherlands,1971,1
Netherlands,1972,1
Netherlands,1977,1
Netherlands,1981,0
Netherlands,1982,0
Netherlands,1986,1
Netherlands,1989,1
Netherlands,1994,0
Netherlands,1998,1
Norway,1961,0
Norway,1965,1
Norway,1969,1
Norway,1973,1
Norway,1977,1
Norway,1981,1
Norway,1985,1
Norway,1989,1
Norway,1993,0
Norway,1997,1
Sweden,1960,0
Sweden,1964,0
Sweden,1968,0
Sweden,1970,0
Sweden,1973,1
Sweden,1976,1
Sweden,1979,1
Sweden,1982,0
Sweden,1985,1
Sweden,1988,0
Sweden,1991,1
Sweden,1994,0
Sweden,1998,0
